Borough,CensusTract,MeanCommute,Transit,Income,Poverty,Unemployment,WorkAtHome
Bronx,36005022703,33.4,62.4,45673,27.1,7.7,0.0
Bronx,36005023702,46.0,78.2,32500,35.1,13.8,2.3
Bronx,36005024000,41.0,62.1,34705,27.9,16.0,2.2
Bronx,36005026300,45.6,67.3,32663,34.4,13.2,9.3
Bronx,36005026500,43.3,65.3,31147,32.3,13.0,6.8
Bronx,36005028100,48.7,58.1,61886,7.6,14.8,3.5
Bronx,36005028300,38.2,50.6,24759,32.5,12.5,2.9
Bronx,36005031400,39.7,41.1,83393,5.7,7.7,1.3
Bronx,36005032800,36.1,52.1,30089,31.7,15.4,1.3
Bronx,36005037400,43.7,63.9,25974,39.4,18.6,3.6
Bronx,36005038200,40.3,48.0,46953,22.2,20.0,0.7
Bronx,36005002300,42.7,74.5,14479,54.2,18.9,4.1
Bronx,36005003900,42.9,83.6,25990,30.2,9.3,4.8
Bronx,36005005400,41.3,67.9,27380,41.7,8.9,3.9
Bronx,36005006200,41.6,66.7,24480,34.7,11.4,7.1
Bronx,36005006800,42.9,58.5,47232,22.5,12.5,1.1
